Starting Radixsort... 
 Suf# 94 , FinalPos 0 = aaaece
Suf# 31 , FinalPos 78 = ddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 84 , FinalPos 79 = ddcdebadecaaaece
Suf# 74 , FinalPos 80 = deacddbabeddcdebadecaaaece
Suf# 87 , FinalPos 81 = debadecaaaece
Suf# 91 , FinalPos 82 = decaaaece
Suf# 72 , FinalPos 83 = dedeacddbabeddcdebadecaaaece
Suf# 2 , FinalPos 84 = edadacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 88 , FinalPos 85 = ebadecaaaece
Suf# 75 , FinalPos 86 = eacddbabeddcdebadecaaaece
Suf# 56 , FinalPos 87 = eeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 66 , FinalPos 88 = eccdacdedeacddbabeddcdebadecaaaece
Suf# 97 , FinalPos 89 = ece
Suf# 58 , FinalPos 90 = ecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 63 , FinalPos 91 = edbeccdacdedeacddbabeddcdebadecaaaece
Suf# 66 , FinalPos 92 = eccdacdedeacddbabeddcdebadecaaaece
Suf# 2 , FinalPos 93 = edadacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 73 , FinalPos 94 = edeacddbabeddcdebadecaaaece
Suf# 83 , FinalPos 95 = eddcdebadecaaaece
Suf# 83 , FinalPos 96 = eddcdebadecaaaece
Suf# 92 , FinalPos 97 = ecaaaece
Suf# 57 , FinalPos 98 = eecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 99 , FinalPos 99 = e
